"NOME_MUNICIPIO","UF","POP_TOT","POP_URB","TOT_COLETADO","REALIZA_COLETA","POP_ATENDIDA","TOT_RECUPERADO","PAPEL","PLASTICO","METAIS","VIDROS","OUTROS"
"Abadia de Goiás","GO","8,583.00","6,342.00","","Não","","","","","","",""
"Abadia dos Dourados","MG","6,972.00","4,356.00","560.00","Sim","","50.00","","","","",""
"Abaetetuba","PA","156,292.00","91,934.00","","Não","","110.00","30.00","15.00","60.00","0.00","5.00"
"Abatiá","PR","7,507.00","5,542.00","132.00","Sim","3,800.00","123.00","30.00","32.00","28.00","18.00","15.00"
"Abdon Batista","SC","2,577.00","703.00","540.00","Sim","700.00","1.00","0.00","0.00","1.00","0.00","0.00"
"Abelardo Luz","SC","17,847.00","9,988.00","","Não","","","","","","",""
"Abel Figueiredo","PA","7,382.00","6,570.00","","Não","","","","","","",""
"Abre Campo","MG","13,465.00","7,365.00","1200.00","Sim","6,000.00","700.00","","","","",""
"Abreu e Lima","PE","99,622.00","91,389.00","1370.00","Sim","25,000.00","1,368.00","708.00","292.00","157.00","156.00","55.00"
"Abreulândia","TO","2,564.00","1,583.00","","Não","","","","","","",""
"Acaiaca","MG","3,994.00","2,601.00","","Não","","","","","","",""
"Acajutiba","BA","15,129.00","13,189.00","","Não","","","","","","",""
"Acari","RN","11,152.00","8,996.00","","Não","","175.00","44.00","84.00","26.00","9.00","12.00"
"Acauã","PI","7,065.00","943.00","","Não","","","","","","",""
"Aceguá","RS","4,858.00","1,171.00","210.00","Sim","1,000.00","20.00","","","","",""
"Acreúna","GO","22,182.00","19,357.00","","Não","","","","","","",""
"Açu","RN","57,644.00","42,625.00","","Não","","","","","","",""
"Afonso Bezerra","RN","11,041.00","5,864.00","","Não","","","","","","",""
"Afonso Cláudio","ES","30,720.00","15,666.00","123.70","Sim","8,500.00","119.90","81.60","16.90","19.20","2.20","0.00"
"Afuá","PA","38,863.00","10,511.00","","Não","","","","","","",""
"Agricolândia","PI","5,148.00","3,637.00","1.00","Sim","","0.00","0.00","0.00","0.00","0.00","0.00"
"Água Boa","MG","13,600.00","6,297.00","","Não","","","","","","",""
"Água Boa","MT","25,229.00","20,273.00","","Não","","420.00","","","","",""
"Água Branca","AL","20,162.00","5,308.00","","Não","","","","","","",""
"Água Branca","PB","10,161.00","4,367.00","","Não","","1.00","","","","",""
"Água Branca","PI","17,349.00","15,333.00","","Não","","","","","","",""
"Água Comprida","MG","2,005.00","1,505.00","","Não","","","","","","",""
"Água Doce","SC","7,138.00","3,520.00","","Não","","","","","","",""
"Aguaí","SP","35,954.00","32,434.00","","Não","","","","","","",""
"Aguanil","MG","4,448.00","2,573.00","","Não","","","","","","",""
"Água Santa","RS","3,753.00","1,459.00","419.00","Sim","1,400.00","87.00","","","","",""
"Águas Belas","PE","43,195.00","26,371.00","","Não","","","","","","",""
"Águas da Prata","SP","8,137.00","7,265.00","2200.00","Sim","7,265.00","57.80","6.00","3.40","45.30","2.00","1.10"
"Águas de São Pedro","SP","3,380.00","3,380.00","121.00","Sim","3,380.00","117.00","46.50","50.00","13.90","4.60","2.00"
"Águas Formosas","MG","19,166.00","14,850.00","","Não","","","","","","",""
"Águas Frias","SC","2,378.00","962.00","","Não","","12.00","2.00","2.00","5.00","0.00","3.00"
"Águas Lindas de Goiás","GO","207,070.00","206,758.00","11000.00","Sim","","","","","","",""
"Águas Mornas","SC","6,378.00","2,675.00","","Não","","408.00","120.00","105.00","93.00","83.00","7.00"
"Agudo","RS","16,524.00","6,807.00","","Não","","","","","","",""
"Agudos","SP","37,023.00","35,381.00","1000.00","Sim","35,381.00","880.00","80.00","350.00","350.00","80.00","20.00"
