"NOME_MUNICIPIO","UF","POP_TOT","POP_URB","REALIZA_COLETA","POP_ATENDIDA","TOT_RECUPERADO","PAPEL","PLASTICO","METAIS","VIDROS","OUTROS"
"Abadia de Goiás","GO","8583.00","6342.00","Não","","","","","","",""
"Abadia dos Dourados","MG","6972.00","4356.00","Sim","","50.00","","","","",""
"Abaetetuba","PA","156292.00","91934.00","Não","","110.00","30.00","15.00","60.00","0.00","5.00"
"Abatiá","PR","7507.00","5542.00","Sim","3800.00","123.00","30.00","32.00","28.00","18.00","15.00"
"Abdon Batista","SC","2577.00","703.00","Sim","700.00","1.00","0.00","0.00","1.00","0.00","0.00"
"Abelardo Luz","SC","17847.00","9988.00","Não","","","","","","",""
"Abel Figueiredo","PA","7382.00","6570.00","Não","","","","","","",""
"Abre Campo","MG","13465.00","7365.00","Sim","6000.00","700.00","","","","",""
"Abreu e Lima","PE","99622.00","91389.00","Sim","25000.00","1368.00","708.00","292.00","157.00","156.00","55.00"
"Abreulândia","TO","2564.00","1583.00","Não","","","","","","",""
"Acaiaca","MG","3994.00","2601.00","Não","","","","","","",""
"Acajutiba","BA","15129.00","13189.00","Não","","","","","","",""
"Acari","RN","11152.00","8996.00","Não","","175.00","44.00","84.00","26.00","9.00","12.00"
"Acauã","PI","7065.00","943.00","Não","","","","","","",""
"Aceguá","RS","4858.00","1171.00","Sim","1000.00","20.00","","","","",""
"Acreúna","GO","22182.00","19357.00","Não","","","","","","",""
"Açu","RN","57644.00","42625.00","Não","","","","","","",""
"Afonso Bezerra","RN","11041.00","5864.00","Não","","","","","","",""
"Afonso Cláudio","ES","30720.00","15666.00","Sim","8500.00","119.90","81.60","16.90","19.20","2.20","0.00"
"Afuá","PA","38863.00","10511.00","Não","","","","","","",""
"Agricolândia","PI","5148.00","3637.00","Sim","","0.00","0.00","0.00","0.00","0.00","0.00"
"Água Boa","MG","13600.00","6297.00","Não","","","","","","",""
"Água Boa","MT","25229.00","20273.00","Não","","420.00","","","","",""
"Água Branca","AL","20162.00","5308.00","Não","","","","","","",""
"Água Branca","PB","10161.00","4367.00","Não","","1.00","","","","",""
"Água Branca","PI","17349.00","15333.00","Não","","","","","","",""
"Água Comprida","MG","2005.00","1505.00","Não","","","","","","",""
"Água Doce","SC","7138.00","3520.00","Não","","","","","","",""
"Aguaí","SP","35954.00","32434.00","Não","","","","","","",""
"Aguanil","MG","4448.00","2573.00","Não","","","","","","",""
"Água Santa","RS","3753.00","1459.00","Sim","1400.00","87.00","","","","",""
"Águas Belas","PE","43195.00","26371.00","Não","","","","","","",""
"Águas da Prata","SP","8137.00","7265.00","Sim","7265.00","57.80","6.00","3.40","45.30","2.00","1.10"
"Águas de São Pedro","SP","3380.00","3380.00","Sim","3380.00","117.00","46.50","50.00","13.90","4.60","2.00"
"Águas Formosas","MG","19166.00","14850.00","Não","","","","","","",""
"Águas Frias","SC","2378.00","962.00","Não","","12.00","2.00","2.00","5.00","0.00","3.00"
"Águas Lindas de Goiás","GO","207070.00","206758.00","Sim","","","","","","",""
"Águas Mornas","SC","6378.00","2675.00","Não","","408.00","120.00","105.00","93.00","83.00","7.00"
"Agudo","RS","16524.00","6807.00","Não","","","","","","",""
"Agudos","SP","37023.00","35381.00","Sim","35381.00","880.00","80.00","350.00","350.00","80.00","20.00"
"Agudos do Sul","PR","9269.00","3163.00","Sim","2900.00","50.00","22.00","5.00","8.00","5.00","10.00"
"Aguiar","PB","5571.00","2721.00","Não","","","","","","",""
"Aguiarnópolis","TO","6572.00","5273.00","Não","","","","","","",""
"Aimorés","MG","25193.00","19885.00","Não","","350.00","","","","",""
"Aiuaba","CE","17303.00","4219.00","Não","","","","","","",""
"Aiuruoca","MG","6032.00","3057.00","Não","","","","","","",""
"Ajuricaba","RS","7063.00","3999.00","Não","","","","","","",""
"Alagoinha","PB","14367.00","9560.00","Não","","","","","","",""
"Alagoinha do Piauí","PI","7636.00","2776.00","Não","","","","","","",""
"Alagoinhas","BA","150832.00","131804.00","Sim","","","","","","",""
"Albertina","MG","3003.00","2074.00","Não","","","","","","",""
"Alcantil","PB","5473.00","2156.00","Não","","","","","","",""
"Alcinópolis","MS","5268.00","3616.00","Sim","1800.00","150.00","30.00","80.00","25.00","0.00","15.00"
"Alcobaça","BA","22449.00","11699.00","Não","","","","","","",""
"Alecrim","RS","6077.00","1868.00","Sim","1686.00","120.00","","","","",""
"Alegre","ES","30568.00","21372.00","Sim","","80.00","71.00","3.00","3.00","1.00","2.00"
"Alegrete","RS","74173.00","66475.00","Sim","","2900.00","","","","",""
"Alegrete do Piauí","PI","4912.00","2704.00","Não","","","","","","",""
"Alegria","RS","3559.00","1312.00","Sim","1312.00","21.00","12.00","3.00","1.00","1.00","4.00"
"Alexandria","RN","13602.00","9254.00","Não","","","","","","",""
"Alexânia","GO","27288.00","22546.00","Não","","","","","","",""
"Alfredo Chaves","ES","14566.00","6832.00","Sim","6000.00","7.00","4.00","3.00","0.00","0.00","0.00"
"Alfredo Marcondes","SP","4147.00","3469.00","Não","","","","","","",""
"Almino Afonso","RN","4761.00","3400.00","Não","","","","","","",""
"Almirante Tamandaré","PR","117168.00","112273.00","Sim","23433.00","130.00","40.00","20.00","40.00","20.00","10.00"
"Almirante Tamandaré do Sul","RS","1979.00","803.00","Não","","","","","","",""
"Alpercata","MG","7411.00","5849.00","Não","","","","","","",""
"Alpestre","RS","6458.00","1779.00","Sim","1779.00","100.00","","","","",""
"Alpinópolis","MG","19745.00","16009.00","Não","","","","","","",""
"Alta Floresta D Oeste","RO","23167.00","13268.00","Não","","","","","","",""
"Altair","SP","4134.00","3275.00","Sim","3275.00","101.00","14.00","11.00","32.00","38.00","6.00"
"Altamira","PA","113195.00","96077.00","Sim","","","","","","",""
"Altinho","PE","22959.00","13122.00","Não","","","","","","",""
"Altinópolis","SP","16164.00","14123.00","Sim","14123.00","704.50","","","","",""
"Alto Alegre","RS","1663.00","669.00","Não","","","","","","",""
"Alto Alegre do Maranhão","MA","26839.00","21138.00","Não","","","","","","",""
"Alto Alegre do Pindaré","MA","31894.00","10094.00","Não","","","","","","",""
"Alto Alegre dos Parecis","RO","13227.00","3774.00","Não","","","","","","",""
"Alto Araguaia","MT","18703.00","16524.00","Não","","","","","","",""
"Alto Bela Vista","SC","1948.00","588.00","Não","","","","","","",""
"Alto Caparaó","MG","5799.00","4340.00","Não","","","","","","",""
"Alto do Rodrigues","RN","14326.00","10330.00","Não","","","","","","",""
"Alto Feliz","RS","3020.00","845.00","Sim","845.00","345.00","","","","",""
"Alto Garças","MT","11868.00","10842.00","Não","","","","","","",""
"Alto Horizonte","GO","6218.00","5332.00","Sim","","103.70","","","","",""
"Alto Jequitibá","MG","8333.00","4308.00","Não","","","","","","",""
"Altônia","PR","21933.00","16137.00","Sim","7800.00","122.00","85.00","8.00","9.00","20.00","0.00"
"Alto Paraguai","MT","11238.00","7126.00","Não","","600.00","200.00","200.00","100.00","0.00","100.00"
"Alto Paraíso","PR","2799.00","1547.00","Sim","1546.00","31.00","15.00","3.00","4.00","4.00","5.00"
"Alto Paraíso de Goiás","GO","7558.00","5729.00","Sim","300.00","246.00","85.00","36.00","100.00","0.00","25.00"
"Alto Paraná","PR","14679.00","12055.00","Sim","12055.00","432.00","251.00","87.00","28.00","47.00","19.00"
"Alto Piquiri","PR","9896.00","8143.00","Sim","8140.00","294.80","107.00","112.50","30.00","37.00","8.30"
"Alto Rio Doce","MG","11146.00","4648.00","Sim","4084.00","2.50","","","","",""
"Alto Rio Novo","ES","7798.00","4536.00","Sim","2250.00","94.00","60.00","22.00","9.00","1.00","2.00"
"Alumínio","SP","18484.00","15503.00","Sim","15503.00","432.00","302.40","108.00","10.80","10.80","0.00"
"Alvarenga","MG","3973.00","1894.00","Sim","","30.00","20.00","6.00","3.00","0.50","0.50"
"Álvares Florence","SP","3712.00","2522.00","Não","","","","","","",""
"Álvares Machado","SP","24830.00","22369.00","Sim","15000.00","160.00","","","","",""
"Álvaro de Carvalho","SP","5179.00","3288.00","Sim","","9.20","8.00","1.20","0.00","0.00","0.00"
"Alvinópolis","MG","15239.00","11417.00","Não","","","","","","",""
"Alvorada","RS","209213.00","209213.00","Sim","200000.00","311.70","100.80","83.50","0.00","51.80","75.60"
"Alvorada","TO","8427.00","7814.00","Não","","","","","","",""
"Alvorada de Minas","MG","3606.00","1475.00","Não","","","","","","",""
"Alvorada D Oeste","RO","14722.00","7708.00","Não","","200.00","","","","",""
"Alvorada do Gurguéia","PI","5392.00","1974.00","Não","","","","","","",""
"Alvorada do Sul","PR","11306.00","8068.00","Sim","4000.00","112.00","","","","",""
"Amambai","MS","38958.00","25099.00","Sim","23000.00","981.50","","","","",""
"Amapá do Maranhão","MA","6918.00","5208.00","Não","","","","","","",""
"Amaporã","PR","6181.00","4917.00","Sim","4900.00","65.00","","","","",""
"Amaral Ferrador","RS","6974.00","2048.00","Não","","","","","","",""
"Amélia Rodrigues","BA","25224.00","19984.00","Não","","","","","","",""
"América Dourada","BA","16097.00","10924.00","Não","","","","","","",""
