"codigo","minicípio","UF","POP_TOT","Co164","Co111","Co108","Co109","Cs048","Co140","Cs001","Cs026","Cs023","Cs024","Cs0482","Cs025","Cs050","Cs009","Cs010","Cs011","Cs012","Cs013","Cs014"
"410010","Abatiá","PR","7.507","5.542","1.138,00","6","1.000,00","132","0","Sim","132","","","132","","3.800","123","30","32","28","18","15"
"420005","Abdon Batista","SC","2.577","1.400","540","0","540","0","0","Sim","540","0","540","0","","700","1","0","0","1","0","0"
"350060","Águas de São Pedro","SP","3.380","3.380","1.508,00","1.387,00","121","0","0","Sim","121","0","121","0","","3.380","117","46,5","50","13,9","4,6","2"
"410030","Agudos do Sul","PR","9.269","5.000","1.128,00","96","984","0","48","Sim","96","96","0","0","","2.900","50","22","5","8","5","10"
"500025","Alcinópolis","MS","5.268","3.616","1.200,00","0","1.200,00","0","0","Sim","200","0","200","0","","1.800","150","30","80","25","0","15"
"410040","Almirante Tamandaré","PR","117.168","105.451","19.627,00","0","19.627,00","0","0","Sim","150","150","0","0","","23.433","130","40","20","40","20","10"
"350090","Altair","SP","4.134","4.105","958","857","0","101","0","Sim","149","48","0","101","","3.275","101","14","11","32","38","6"
"412862","Alto Paraíso","PR","2.799","1.547","100","100","0","0","0","Sim","50","50","0","0","","1.546","31","15","3","4","4","5"
"410060","Alto Paraná","PR","14.679","12.255","2.610,30","2.050,30","0","560","0","Sim","560","","","560","","12.055","432","251","87","28","47","19"
"410070","Alto Piquiri","PR","9.896","8.143","4.300,00","4.300,00","0","0","0","Sim","350","350","0","0","","8.140","294,8","107","112,5","30","37","8,3"
"350180","Américo de Campos","SP","5.956","4.998","2.160,00","2.160,00","0","0","0","Sim","140","140","0","0","","2.000","130","70","20","30","5","5"
"410100","Ampére","PR","18.989","15.000","5.710,00","2.500,00","50","3.160,00","0","Sim","3.760,00","500","100","3.160,00","","5.000","145","50","50","30","10","5"
"150080","Ananindeua","PA","525.566","524.273","91.664,00","0","90.360,00","1.304,00","0","Sim","1.304,00","","","1.304,00","","50.000","1.250,00","941","122","50","0","137"
"520110","Anápolis","GO","381.970","375.283","100.406,70","0","100.406,70","0","0","Sim","2.272,00","0","2.272,00","0","","216.000","2.075,00","546,6","228,1","79,5","36,4","1.184,40"
"410110","Andirá","PR","20.139","20.139","4.916,00","4.600,00","0","316","0","Sim","316","","","316","","18.909","314","20","98","98","98","0"
"420100","Anita Garibaldi","SC","7.313","4.053","1.305,00","0","1.300,00","0","5","Sim","420","0","420","0","","1.899","114","38","35","25","8","8"
"420120","Antônio Carlos","SC","8.411","5.500","1.300,00","0","1.300,00","0","0","Sim","264","0","264","0","","2.640","242,4","60","48","56,4","72","6"
"430080","Antônio Prado","RS","13.055","9.395","2.487,00","0","2.487,00","0","0","Sim","425,6","0","425,6","0","","9.395","295","192","80","1,5","8,5","13"
"410140","Apucarana","PR","133.726","129.183","30.360,00","0","28.200,00","2.160,00","0","Sim","2.160,00","","","2.160,00","","100.950","1.080,00","432","324","108","54","162"
"280030","Aracaju","SE","648.939","648.939","216.122,10","0","215.162,00","960,1","0","Sim","1.185,90","197","28,8","960,1","","268.041","1.031,70","856,3","92,9","51,6","30,9","0"
"350320","Araraquara","SP","233.744","228.099","69.425,20","0","60.328,00","5.053,20","4.044,00","Sim","5.053,20","","","5.053,20","","216.000","2.841,70","1.393,60","507,6","243,8","670,3","26,4"
"410170","Araruna","PR","13.939","10.881","3.123,70","2.751,30","0","269","103,4","Sim","372,4","","","269","103,4","10.881","372,3","94,1","151","79,6","5,2","42,4"
"410180","Araucária","PR","141.410","128.000","29.040,00","0","29.040,00","0","0","Sim","1.130,00","0","1.130,00","0","","126.000","869,9","376,1","276,9","114,2","102,7","0"
"330022","Areal","RJ","12.471","12.471","2.477,70","0","2.258,10","219,6","0","Sim","219,6","","","219,6","","5.100","175,7","101,9","38,7","19,3","10,5","5,3"
"350400","Assis","SP","103.666","103.666","27.400,00","25.000,00","0","2.400,00","0","Sim","2.400,00","","","2.400,00","","99.141","1.600,00","800","200","200","200","200"
"410200","Assis Chateaubriand","PR","33.397","29.340","5.840,00","5.840,00","0","0","0","Sim","756","756","0","0","","29.340","375","170","105","42","48","10"
"410210","Astorga","PR","26.011","23.758","1.877,70","917,7","0","960","0","Sim","960","","","960","","23.758","732,5","175,1","169,1","76,6","173,7","138"
"410220","Atalaia","PR","3.902","3.700","1.220,00","970","0","200","50","Sim","200","","","200","","3.338","114","38","32","36","8","0"
"350410","Atibaia","SP","141.398","140.000","42.898,80","0","42.898,80","0","0","Sim","1.762,90","0","1.762,90","0","","52.000","1.400,00","700","200","100","100","300"
"430150","Augusto Pestana","RS","6.706","4.400","792,9","0","792,9","0","0","Sim","92","0","92","0","","3.454","8,3","3","2","2","1,3","0"
"350480","Bálsamo","SP","8.994","8.950","1.600,00","1.600,00","0","0","0","Sim","200","200","0","0","","8.238","153","100","35","4","8","6"
"410240","Bandeirantes","PR","31.526","29.304","7.466,50","7.200,00","0","266,5","0","Sim","266,5","","","266,5","","13.900","219","131","25","7","42","14"
"430170","Barão de Cotegipe","RS","6.627","4.926","900","0","900","0","0","Sim","480","0","480","0","","4.026","102","50","30","20","1","1"
"350520","Bariri","SP","34.961","33.171","9.480,00","0","7.800,00","1.680,00","0","Sim","1.680,00","","","1.680,00","","33.171","140","28","28","28","28","28"
"350530","Barra Bonita","SP","36.127","35.370","7.332,00","3.456,00","3.456,00","420","0","Sim","420","","","420","","35.350","402","166","18","128","60","30"
